address1,address2,city,state,zip,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,Yahoo_ID,request_date,phone,fullTimeEmployees,beta,forwardPE,bid,sharesPercentSharesOut,priceToBook,forwardEps,recommendationMean,debtToEquity,returnOnEquity,fax,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,numberOfAnalystOpinions,lastSplitFactor,lastSplitDate,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,shortPercentOfFloat,pegRatio,earningsQuarterlyGrowth,earningsGrowth,trailingPE,dividendRate,dividendYield,exDividendDate,payoutRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,lastDividendValue,lastDividendDate,fiveYearAvgDividendYield
44 Victoria Street,Suite 820,Toronto,ON,M5C 1Y2,Canada,https://www.jasperpim.com,Software - Application,software-application,Software - Application,Technology,technology,Technology,"Jasper Commerce Inc. provides software-as-a-service product information management (PIM) solutions in the United States, Canada, and internationally. The company's PIM solutions enables eCommerce retailers, wholesalers, or distributors to centralize, organize, and merchandise their products from a single central repository. Jasper Commerce Inc. is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Sean  Coutts', 'age': 53, 'title': 'President & COO', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 195055, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,20000,20000,45453,2222,2222,0.005,290398,0.005,0.04,0.21573976,0.0062,0.016925,CAD,1073527,-1.7986901,36725485,58079600,63,1369,1692057600,1697155200,0.35231,0.0046,0.01,87119400,-0.023,1690761600,1722384000,1698710400,-2421145,-0.05,0.798,-0.46,-0.875,0.25222528,VAN,EQUITY,JPIM.V,JPIM.V,JASPER COMMERCE INC,Jasper Commerce Inc.,1645713000,America/Toronto,EST,738aa64d-dc70-3211-b95b-9586d58243ee,finmb_671305738,-18000000,0.005,none,199311,0.003,-2336130,982440,0.306,0.354,1346057,0.023,-1.20234,-1059680,-1930347,-0.247,0.75389,-1.73554,-1.1133599,CAD,,JPIM.V,2024-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151 John Street,,Barrie,ON,L4N 2L1,Canada,https://www.medipharmlabs.com,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"MediPharm Labs Corp., a pharmaceutical company, produces and sells pharmaceutical-quality cannabis oil and concentrates, and advanced derivative products in Canada and internationally. The company formulates, processes, packages, and distributes cannabis extracts and advanced cannabinoid-based products. It also provides GMP flower sourcing, packaging, and distribution services, as well as dried flower and pre-roll products. MediPharm Labs Corp. was founded in 2015 and is headquartered in Barrie, Canada.","{'maxAge': 1, 'name': 'Mr. David A. Pidduck', 'title': 'CEO & Director', 'fiscalYear': 2022, 'totalPay': 686362, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.07,0.065,0.065,0.07,0.07,0.065,0.065,0.07,317903,317903,231683,199850,199850,0.07,28089670,0.055,0.1,0.9506776,0.0668,0.07005,CAD,16577652,-0.53227,378347553,401280992,688633,636998,1703808000,1706659200,0.02481,0.00727,3.37,401280992,0.138,1672444800,1703980800,1696032000,-15727000,-0.05,0.561,-0.94,-0.17647058,0.25222528,TOR,EQUITY,LABS.TO,LABS.TO,MEDIPHARM LABS CORP,MediPharm Labs Corp.,1551709800,America/Toronto,EST,cb9100ff-f302-3a30-85a3-e25f5d2077e2,finmb_565153484,-18000000,0.07,hold,14232000,0.035,-17641000,2720000,1.86,3.275,29547000,0.09,-0.17785999,-1979750,-13981000,0.171,0.121300004,-0.59705,-0.55414003,CAD,,LABS.TO,2024-02-21,705-719-7425,130,1.159,-3.5,0.065,0.0017,0.5072464,-0.02,3,4.927,-0.2719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110 Yonge Street,Suite 1601,Toronto,ON,M5C 1T4,Canada,https://www.starroyalties.com,Other Precious Metals & Mining,other-precious-metals-mining,Other Precious Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Star Royalties Ltd. operates as a precious metals and carbon credit royalty and streaming company. The company focuses on providing wealth creation through originating transaction structuring with alignment to both counterparties and shareholders. It specializes in bespoke and operator-friendly financing solutions, including originating and restructuring of royalties and streams in precious metals and in North American nature-based carbon offset projects. Star Royalties Ltd. was incorporated in 2018 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Anthony Hermann Lesiak B.Sc., M.B.A.', 'age': 53, 'title': 'Executive Chairman', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 400000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.275,0.28,0.28,0.28,0.275,0.28,0.28,0.28,41000,41000,61748,49630,49630,0.28,20989274,0.21,0.475,18.187002,0.3064,0.31495,CAD,18786132,-0.65659,66244408,74961696,90058,17572,1703808000,1706659200,0.2001,0.21700001,0.53,74961696,0.604,1672444800,1703980800,1696032000,-757755,-0.01,16.278,-12.599,-0.2948718,0.25222528,VAN,EQUITY,STRR.V,STRR.V,STAR ROYALTIES LTD,Star Royalties Ltd.,1613745000,America/Toronto,EST,6a775623-745c-3c1d-a7fe-184f4b31cdea,finmb_660251303,-18000000,0.28,none,1828337,0.024,-1491121,,3.696,3.772,1154081,0.016,-0.02762,86107,-621402,-0.187,1,-1.29204,-1.9164901,USD,,STRR.V,2024-02-21,647-494-5001,8,0.705,,0.275,0.0002,0.46357617,,,,-0.01684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Canadian Venture Building,82 Richmond Street East,Toronto,ON,M5C 1P1,Canada,https://deveronuas.com,Information Technology Services,information-technology-services,Information Technology Services,Technology,technology,Technology,"Deveron Corp. provides data collection and analytics services to the agricultural industry in Canada and the United States. It offers data acquisition services and data analytics based on digital recommendations and data interpretations. The company provides data collection services, including data collection for soil sampling, drone data, etc. It also offers services in the areas of fertility sampling, agronomic insights, lab sciences, carbon, soil health, and field imagery. The company was formerly known as Deveron UAS Corp. and changed its name to Deveron Corp. in September 2020. Deveron Corp. was incorporated in 2011 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. David A. MacMillan C.F.A.', 'age': 39, 'title': 'CEO, President, Secretary & Director', 'yearBorn': 1984, 'fiscalYear': 2022, 'totalPay': 395200, 'exercisedValue': 251000, 'unexercisedValue': 0}",1672444800,86400,4,0.175,0.175,0.175,0.18,0.175,0.175,0.175,0.18,50496,50496,173384,44740,44740,0.18,28154522,0.115,0.42,0.9688702,0.1684,0.2563125,CAD,98190624,-0.98073,129321272,156414000,430,20301,1703808000,1706659200,0.17735,0.073920004,,156414000,0.042,1688083200,1719705600,1696032000,-28499266,-0.1,3.379,-8.587,-0.527027,0.25222528,VAN,EQUITY,FARM.V,FARM.V,DEVERON CORP,Deveron Corp.,1354113000,America/Toronto,EST,b208498b-25cc-3201-9632-1f8cb1ec056d,finmb_183531292,-18000000,0.18,hold,895683,0.006,-11434398,46939484,0.352,0.442,29059126,0.198,,,-3842387,0.074,0.67029,-0.39349,-0.43137002,CAD,,FARM.V,2024-02-21,416-367-4571,218,1.393,-2.2500002,0.165,,4.2857146,-0.08,3,149.775,,416-367-5269,0.35,0.1,0.22,0.22,2,,,,,,,,,,,,,,,,,,,,,,
11127 - 15 Street N.E.,Unit 112,Calgary,AB,T3K 2M4,Canada,https://www.hightideinc.com,Pharmaceutical Retailers,pharmaceutical-retailers,Pharmaceutical Retailers,Healthcare,healthcare,Healthcare,"High Tide Inc. engages in the cannabis retail business in Canada, the United States, and internationally. The company operates through Retail and Wholesale segments. It operates licensed retail cannabis stores; and provides data analytics services. In addition, the company manufactures and distributes consumption accessories. Further, it sells its products through online sales via e-commerce platform. The company offers its products under the Daily High Club, DankStop, FABCBD, GC, Nuleaf, Smoke Cartel, and Blessed CBD brands. The company was formerly known as High Tide Ventures Inc. and changed its name to High Tide Inc. in October 2018. High Tide Inc. was founded in 2009 and is headquartered in Calgary, Canada.","{'maxAge': 1, 'name': 'Mr. Harkirat  Grover', 'age': 41, 'title': 'Founder, CEO, President & Executive Chairman', 'yearBorn': 1982, 'fiscalYear': 2023, 'totalPay': 635206, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.54,2.57,2.45,2.62,2.54,2.57,2.45,2.62,40868,40868,79100,94460,94460,2.5,193250944,1.42,3.09,0.39627483,2.3374,2.0026,CAD,243913488,-0.08061,71399927,78557296,785906,797384,1703808000,1706659200,0.090900004,0.10262,10.55,78557296,1.747,1698710400,1730332800,1698710400,-39310000,-0.53,0.5,12.837,0.38043475,0.25222528,VAN,EQUITY,HITI.V,HITI.V,HIGH TIDE INC,High Tide Inc.,1545057000,America/Toronto,EST,2db0d356-c8dd-3968-b1fa-74519bcd1a1e,finmb_564868709,-18000000,2.46,buy,30262000,0.385,19001000,72530000,0.651,1.181,487668992,6.561,-0.00655,15962000,20661000,0.174,0.26927,0.03896,0.00917,CAD,,HITI.V,2024-02-21,403 770 9435,1550,1.16,15.375001,2.46,0.0119,1.4081283,0.16,1.7,54.262,-0.27698,,8.5,4.25,5.94,5.5,4,1:15,1620864000,,,,,,,,,,,,,,,,,,,,
1 Hershey Drive,,Smiths Falls,ON,K7A 0A8,Canada,https://www.canopygrowth.com,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"Canopy Growth Corporation, together with its subsidiaries, engages in the production, distribution, and sale of cannabis and hemp-based products for recreational and medical purposes primarily in Canada, the United States, and Germany. It operates through two segments, Global Cannabis and Other Consumer Products. The company's products include dried cannabis flower, extracts and concentrates, beverages, gummies, and vapes. It offers its products under the Tweed, 7ACRES, 7ACRES Craft Collective, DOJA, Ace Valley, Quatreau, Deep Space, First + Free, Surity Pro, Spectrum Therapeutics, Vert, Tokyo Smoke, Twd, Martha Stewart CBD, DNA Genetics, BioSteel, Storz & Bickel, This Works, HiWay, Simple Stash, Whisl, and Truverra brands. The company was formerly known as Tweed Marijuana Inc. and changed its name to Canopy Growth Corporation in September 2015. Canopy Growth Corporation was incorporated in 2009 and is headquartered in Smiths Falls, Canada.","{'maxAge': 1, 'name': 'Mr. David Eric Klein', 'age': 59, 'title': 'CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2023, 'totalPay': 2368627, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,5.15,5.13,4.73,5.13,5.15,5.13,4.73,5.13,1216979,1216979,1078495,1438350,1438350,4.8,436438944,4.47,33.3,1.2048204,6.5654,8.46185,CAD,974266240,,73871165,91114600,2578004,1700052,1703808000,1706659200,0.19002001,0.0495,2.38,91114600,6.566,1680220800,1711843200,1703980800,-1180052992,-21.3,2.69,-3.965,-0.8410494,0.25222528,TOR,EQUITY,WEED.TO,WEED.TO,CANOPY GROWTH CORPORATION,Canopy Growth Corporation,1282051800,America/Toronto,EST,ed92caa8-6f26-3937-a342-b83e80bd4df8,finmb_253665025,-18000000,4.79,hold,188383008,2.068,-245696000,693270016,1.14,1.795,362244000,5.589,-0.08886,-95079376,-399628000,-0.075,0.11083,-0.67825997,-0.31746,CAD,,WEED.TO,2024-02-21,855 558 9333,1621,1.654,-3.7421875,4.79,0.028299998,0.7295157,-1.28,3.2,127.284,-1.21558,,20,,7.14,6,11,1:10,1703030400,10,1,4,5,4,1706745600,0.0349,-0.06,,,,,,,,,,,,
1 Adelaide Street East,Suite 801,Toronto,ON,M5C 2V9,Canada,https://redlight.co,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"Red Light Holland Corp. engages in the production, cultivation, and sale of functional mushrooms and mushroom home grow kits to the recreational market in the Netherlands. It is also involved in the selection, distribution, and export of truffles, cannabidiol products, cannabis seeds, headshop products, cannabis bake house muffins, cookies, and cakes. The company sells its products under the iMicrodose, Maka, Happy Caps, and Mistercap's brands through brick-and-mortar SmartShops, as well as through online stores. Red Light Holland Corp. is based in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Todd Michael Shapiro', 'age': 48, 'title': 'Co-Founder, CEO & Director', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 2007622, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,55039,55039,296753,433004,433004,0.06,21726926,0.05,0.165,4.709776,0.0589,0.0704125,CAD,7339218,-1.20824,366813774,395035008,76027,68951,1702598400,1705276800,0.0575,0.00143,0.21,395035008,0.062,1680220800,1711843200,1696032000,-5573810,-0.01,1.591,-1.478,-0.62068963,0.25222528,CNQ,EQUITY,TRIP.CN,TRIP.CN,RedLightHolland,Red Light Holland Corp.,1590672600,America/Toronto,EST,470a1097-9bfb-37e8-a680-c269f3bedf94,finmb_876304,-18000000,0.055,hold,16372142,0.041,-4964832,1748424,6.295,7.381,4613155,0.012,-0.11494,-3196488,-2762796,0.335,0.45474,-1.07623,-1.19577,CAD,,TRIP.CN,2024-02-21,647-204-7129,,1.694,-5.5,0.055,0.0002,0.88709676,-0.01,3,7.11,-0.22575001,416-869-0547,,,,,,,,,,,,,,,,,,,,,,,,,,,
151 West Hastings Street,,Vancouver,BC,V6B 1H4,Canada,https://www.rritual.com,Packaged Foods,packaged-foods,Packaged Foods,Consumer Defensive,consumer-defensive,Consumer Defensive,"Aretto Wellness Inc. engages in the development, marketing, sale, and distribution of proprietary dietary and nutritional supplements and beverages in Canada and the United States. The company offers herbs and other extracts, such as fruits, roots, fungi, and vegetables. It provides its products under the Rritual brand name. The company was formerly known as Rritual Superfoods Inc. Aretto Wellness Inc. was incorporated in 2019 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Nathan  Nowak', 'title': 'CEO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",,86400,4,0.03,,0.03,0.03,0.03,,0.03,0.03,,,,,,0.4,326112,0.015,0.09,-3.6890914,0.03,0.03575,CAD,343253,,10492618,10870400,710,710,1702598400,1705276800,0.00376,,,10870400,-0.164,1656547200,1688083200,1680220800,-6444114,-1.44,-3.883,,-0.5,0.25222528,CNQ,EQUITY,ARTO.CN,ARTO.CN,Aretto Wellness,Aretto Wellness Inc.,1615300200,America/Toronto,EST,96c2625e-4889-3f4d-831e-e6c0264dc6f8,finmb_697789001,-18000000,0.03,strong_buy,52857,0.005,,70000,0.03,0.03,-88399,-0.013,-0.92457,914662,-154895,,,,44.078243,CAD,,ARTO.CN,2024-02-21,,,2.8,,,0.0001,,,1,,-5.52691,,,,,,,1:20,1669334400,,,,,,,,,,,,,,,,,,,,
195 Bentworth Avenue,Unit 2,Toronto,ON,M6A 1P9,Canada,https://www.arht.tech,Software - Application,software-application,Software - Application,Technology,technology,Technology,"ARHT Media Inc., together with its subsidiaries, engages in the live and prerecorded holograms with a network of capture and display locations worldwide. Its products include Capsule, a consumer-facing holographic display that is plug-and-play for events in all lighting conditions and can be permanently installed for retail and other consumer or user-facing applications; ARHT Engine, a proprietary technology utilizes a combination of advanced hardware and software, including 3D cameras, motion capture technology, and real-time rendering software to create its holographic displays; and Virtual Global Stage, which allows multiple presenters to interact with one another on the same stage with no latency, appearing much like they would if they were physically next to one another, as well as capture studio, ARHT Hologram Screen, and HoloPod Display. The company also provides various services, including consulting, project management, training in the use of software and technology, and content creation for events. ARHT Media Inc. was founded in 2012 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Richard G. Carl', 'age': 66, 'title': 'Executive Chair of the Board', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 10000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.05,0.045,0.045,0.045,0.05,0.045,0.045,0.045,30709,30709,135459,49560,49560,0.05,8658450,0.04,0.21,1.2748549,0.0592,0.1141,CAD,11466263,-1.6068201,164387102,192410000,6729,86926,1703808000,1706659200,0.16627,,0.06,192410000,0.003,1672444800,1703980800,1696032000,-10913094,-0.05,1.688,-1.167,-0.7222222,0.25222528,VAN,EQUITY,ART.V,ART.V,ARHT MEDIA INC,ARHT Media Inc.,839511000,America/Toronto,EST,3b171734-083a-38d0-ba3e-39bb283116e1,finmb_260063005,-18000000,0.045,hold,517014,0.003,-9828160,2362795,0.779,1.002,6791714,0.035,-0.67024004,-2796602,-6932198,-0.329,0.52362,-1.4470799,-2.17244,CAD,,ART.V,2024-02-21,416-782-8042,,0.488,-1.1250001,0.045,,15,-0.04,3,401.184,-1.96313,,0.2,0.2,0.2,0.2,1,1:11,1512000000,,,,,,,,,,,,,,,,,,,,
1632 Dickson Avenue,Suite 335,Kelowna,BC,V1Y 7T2,Canada,https://www.avantbrands.ca,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Drug Manufacturers - Specialty & Generic,Healthcare,healthcare,Healthcare,"Avant Brands Inc. cultivates, produces, and markets cannabis products in Canada. The company offers medical and recreational cannabis products under the BLK MKT, Tenzo, GreenTec, cognoscente, Treehugger, and Pristine brands. It distributes cannabis through medical and recreational sales channels, as well as an e-commerce website. The company was formerly known as GTEC Holdings Ltd. and changed its name to Avant Brands Inc. in July 2021. Avant Brands Inc. is headquartered in Kelowna, Canada.","{'maxAge': 1, 'name': 'Mr. Norton  Singhavon', 'title': 'Founder, CEO & Director', 'fiscalYear': 2022, 'totalPay': 350000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.11,0.11,0.105,0.11,0.11,0.11,0.105,0.11,396884,396884,159022,324470,324470,0.11,28409588,0.095,0.325,0.96539307,0.13464,0.16046,CAD,46026560,-0.15601,212294299,258268992,235607,1126046,1703808000,1706659200,0.08686,,1.38,258268992,0.225,1669766400,1701302400,1693440000,-4591000,-0.02,1.564,167.98,-0.5416666,0.25222528,TOR,EQUITY,AVNT.TO,AVNT.TO,AVANT BRANDS INC,Avant Brands Inc.,1529674200,America/Toronto,EST,e12b21d8-c3b4-394a-9bce-addb46b11447,finmb_537620129,-18000000,0.11,none,1717000,0.007,274000,19334000,0.387,1.955,29428000,0.127,-0.00805,-6895500,4276000,0.641,0.40094003,0.00931,0.19735001,CAD,,AVNT.TO,2024-02-21,800-351-6358,150,3.59,,0.105,0.0009,0.4888889,,,33.339,-0.07093,,,,,,,,,,,,,,,,,-0.506,-0.596,,,,,,,,,,
