Company Name,Symbol,,Symbol,Symbol,US,Exercise,,,,,,Symbol,,Wts,1 Month,,,Days ,Fair,,,
Click on Company for News,CEO.ca ,Warrant,Yahoo,Canadian,Warrant,Price,,  Price  of  ,Expiration,Intrinsic,,Stockhouse,Time,Per,Historic,Warrant,Accel.,Until,Market,Comments,,
and Charts,BullBoard,CUSIP NO,Finace,Insider,Symbol,Cdn$,Currency,Common,Date,Value,Leverage,Bullboard,Value,Share,Volatility,Price,Clause,Expiry,Value,,,Discount
Mind Medicine (MindMed),MMED.WR.NE,60255C 17 4,MMEDF,MMED.NE,,5.75,CAD,4.85,07-Jan-24,-0.9,32.33,MMED.WR.NE,$0.00,15,85.70%,0.01,,15,0.01,Overvalued,,1
Lifeist Wellness Inc,LFST.WT.B.VN,53228D 12 2,NXTTF,LFST.VN,,0.47,CAD,0.015,19-Jan-24,-0.46,3,LFST.WT.B.VN,$0.00,1,476.10%,0.005,,27,0,Very Overvalued,,0
Aurora Cannabis Inc,ACB.WT.U.TO,05156X 17 3,ACB,ACB.TO,,12.6,USD,0.4827,26-Jan-24,-12.12,96.54,ACB.WT.V.TO,$0.00,1,62.20%,0.005,,34,0,Very Overvalued,,0
,WEED.WT.TO,138035 11 8,,WEED.TO,,19.78,CAD,6.81,29-Jan-24,-12.97,"1,362.00",WEED.WT.TO,$0.00,1,149.60%,0.005,,37,0.02,Bargain,,4
Hot Chili Ltd,HCH.WT.VN,Q4681Z 21 9,,HCH.VN,,2.5,CAD,0.87,31-Jan-24,-1.63,174,HCH-WT.VN,$0.00,1,50.40%,0.005,,39,0,Very Overvalued,,0
Silver Mountain Res Inc,AGMR.WT.VN,828042 11 9,,AGMR.VN,,0.7,CAD,0.095,02-Feb-24,-0.61,19,AGMR.WT.VN,$0.00,1,144.30%,0.005,,40,0,Very Overvalued,,0
Wonderfi Technologies Inc,WNDR.WT.A.TO,97818W 12 3,,WNDR.TO,,3.1,CAD,0.33,04-Feb-24,-2.77,132,WNDR.WT.A.NE,$0.00,0.5,110.80%,0.005,,42,0,Very Overvalued,,0
Pesorama Inc,PESO.WT.VN,715792 11 5,,PESO.VN,,1.25,CAD,0.2,08-Feb-24,-1.05,6.67,PESO.WT.VN,$0.00,1,75.30%,0.03,,46,0,Very Overvalued,,0
Vext Science,VEXT.WT.A.CN,925540 12 2,VEXTF,"VEXT,CN",,1.4,CAD,0.275,08-Feb-24,-1.13,27.5,VEXT.WT.CN,$0.00,1,48.80%,0.01,,46,0,Very Overvalued,,0
Millennial Lithium,ML.WT.VN,60040W 14 7,MLNLF,ML.VN,,4.8,CAD,4.04,11-Feb-24,-0.76,11.88,ML.WT.VN,$0.00,1,41.00%,0.34,,49,0.05,Very Overvalued,,0.15
